,gene,class,family,S29,S30,S21,S22
511,L1MC5a,LINE,L1,7911,13700,10678,8375
512,UCON33,DNA,TcMar-Tigger,56,32,12,16
513,Helitron1Na_Mam,RC,Helitron,16,52,40,12
514,LTR12C,LTR,ERV1,841,1309,1080,995
515,LTR12B,LTR,ERV1,8,57,11,14
516,MER61-int,LTR,ERV1,229,788,368,390
517,tRNA-Ile-ATA,tRNA,tRNA,8,12,54,32
518,LTR12F,LTR,ERV1,84,126,104,83
519,LTR12E,LTR,ERV1,131,161,122,100
520,LTR12D,LTR,ERV1,144,231,132,135
521,tRNA-Met,tRNA,tRNA,0,9,12,12
522,HERV30-int,LTR,ERV1,16,40,32,28
523,tRNA-Ser-TCY,tRNA,tRNA,0,0,0,0
524,U13,snRNA,snRNA,53,89,140,132
525,LTR47A2,LTR,ERVL,170,144,152,128
526,LTR40a,LTR,ERVL,178,732,423,385
527,LTR40b,LTR,ERVL,301,463,353,330
528,LTR33A_,LTR,ERVL,184,369,168,352
529,LTR12_,LTR,ERV1,36,105,120,59
530,UCON96,Unknown,Unknown,0,0,20,8
531,MLT1M-int,LTR,ERVL-MaLR,0,0,0,0
532,Eulor9A,DNA,DNA,0,36,28,27
533,MamGypsy2-LTR,LTR,Gypsy,103,52,55,92
534,Eulor9C,DNA,DNA,0,0,8,16
535,Eulor9B,DNA,DNA,0,0,0,0
536,tRNA-Met-i,tRNA,tRNA,0,0,0,0
537,MER123,DNA?,DNA?,4,4,8,0
538,BSR_Beta,Satellite,Satellite,324,414,358,251
539,LTR2,LTR,ERV1,301,472,430,245
540,MER2,DNA,TcMar-Tigger,3446,5307,5215,4138
541,MER3,DNA,hAT-Charlie,3251,3877,3542,2746
542,Arthur1C,DNA,hAT-Tip100,151,244,132,96
543,HERVL74-int,LTR,ERVL,319,163,333,284
544,Arthur1A,DNA,hAT-Tip100,132,284,376,255
545,HERV1_LTRa,LTR,ERV1,0,41,45,35
546,HERV1_LTRc,LTR,ERV1,4,4,32,0
547,HERV1_LTRb,LTR,ERV1,32,12,32,0
548,HERV1_LTRe,LTR,ERV1,60,36,12,0
549,HERV1_LTRd,LTR,ERV1,0,19,4,0
550,MER4-int,LTR,ERV1,891,1205,1340,780
551,Tigger4b,DNA,TcMar-Tigger,1289,2419,1999,1521
552,MER106B,DNA,hAT-Charlie,140,393,303,323
553,MER106A,DNA,hAT-Charlie,192,314,342,219
554,MamGypLTR1a,LTR,Gypsy,52,106,100,28
555,L1M3de,LINE,L1,96,294,177,91
556,MamGypLTR1b,LTR,Gypsy,844,764,1825,1356
557,MamGypLTR1d,LTR,Gypsy,60,148,103,60
558,L1PA15-16,LINE,L1,220,702,229,343
559,MER44D,DNA,TcMar-Tigger,275,389,277,348
560,MER113,DNA,hAT-Charlie,851,1534,893,737
561,tRNA-Val-GTY,tRNA,tRNA,0,0,8,0
562,LTR3B_,LTR,ERVK,74,136,189,164
563,MER65C,LTR,ERV1,1115,1882,1474,993
564,HERV-Fc2_LTR,LTR,ERV1,0,0,0,0
565,MER41A,LTR,ERV1,417,799,579,472
566,MER66-int,LTR,ERV1,167,356,265,217
567,TAR1,Satellite,telo,0,18,2,7
568,Tigger16b,DNA,TcMar-Tigger,820,1307,851,790
569,MER74C,LTR,ERVL,12,16,28,40
570,UCON84,Unknown,Unknown,0,24,0,0
571,MLT2A1,LTR,ERVL,431,740,415,296
572,U4,snRNA,snRNA,144,83,159,184
573,MLT1E-int,LTR,ERVL-MaLR,0,0,0,0
574,MER74B,LTR,ERVL,190,246,248,324
575,L2-1_Crp,LINE,L2,48,12,64,52
576,MLT2A2,LTR,ERVL,609,508,457,585
577,Arthur1B,DNA,hAT-Tip100,194,345,332,303
578,PRIMA4-int,LTR,ERV1,287,502,417,205
579,THE1D-int,LTR,ERVL-MaLR,866,1546,771,978
580,Mam_R4,LINE,Dong-R4,87,154,35,117
581,MLT1G1,LTR,ERVL-MaLR,856,1397,1070,1088
582,MLT1G3,LTR,ERVL-MaLR,520,933,510,700
583,Charlie25,DNA,hAT-Charlie,150,362,68,179
584,Charlie24,DNA,hAT-Charlie,287,388,457,378
585,LTR6B,LTR,ERV1,143,250,459,223
586,UCON72,Unknown,Unknown,0,4,4,0
587,tRNA-SeC_e_-TGA,tRNA,tRNA,0,0,8,24
588,MLT1H-int,LTR,ERVL-MaLR,226,373,242,219
589,LOR1a,LTR,ERV1,449,676,395,577
590,Arthur1,DNA,hAT-Tip100,243,461,379,211
591,MLT1J1-int,LTR,ERVL-MaLR,51,90,84,66
592,LOR1b,LTR,ERV1,51,185,205,102
593,LTR10B1,LTR,ERV1,128,117,230,108
594,LTR10B2,LTR,ERV1,27,68,48,20
595,LTR108c_Mam,LTR,ERVL,0,0,0,0
596,MLT1K-int,LTR,ERVL-MaLR,28,0,52,28
597,MIRb,SINE,MIR,49366,77288,65787,52976
598,Charlie13a,DNA,hAT-Charlie,232,222,144,110
599,Charlie13b,DNA,hAT-Charlie,190,212,208,157
600,UCON132b,DNA,hAT-Tip100,58,123,77,125
601,MER63B,DNA,hAT-Blackjack,673,886,564,485
602,LTR39,LTR,ERV1,434,779,1294,517
603,UCON78,DNA,DNA,63,92,111,56
604,AluYj4,SINE,Alu,309,474,318,267
605,MER66D,LTR,ERV1,32,31,16,4
606,LTR107_Mam,LTR,LTR,20,80,56,16
607,MER66C,LTR,ERV1,76,154,70,74
608,MER91B,DNA,hAT-Tip100,391,309,281,187
609,MER66A,LTR,ERV1,79,71,136,88
610,Charlie2a,DNA,hAT-Charlie,634,1136,800,714
611,Charlie2b,DNA,hAT-Charlie,767,1380,1100,966
612,L1MA8,LINE,L1,2454,5149,3082,2513
613,MER50B,LTR,ERV1,175,136,84,81
614,MIRc,SINE,MIR,23050,34310,28209,23030
615,tRNA-Lys-AAA,tRNA,tRNA,12,28,0,20
616,LTR22C0,LTR,ERVK,36,84,99,103
617,X1_LINE,LINE,CR1,0,20,4,0
618,LTR22C2,LTR,ERVK,0,17,5,0
619,MER46C,DNA,TcMar-Tigger,2106,3435,2524,2035
620,MER31B,LTR,ERV1,249,483,438,369
621,MamRep38,DNA,hAT,375,505,387,289
622,MER31A,LTR,ERV1,370,406,310,350
623,MER107,DNA,hAT-Charlie,104,128,139,57
624,L4_B_Mam,LINE,RTE-X,734,1580,935,739
625,MER34D,LTR,ERV1,64,44,80,83
626,LTR88b,LTR,Gypsy?,175,218,236,251
627,MamRep1151,LTR?,LTR?,326,446,162,235
628,MER20,DNA,hAT-Charlie,5396,6609,6484,4921
629,LTR30,LTR,ERV1,41,54,70,26
630,LTR7,LTR,ERV1,264,557,427,298
631,LTR16E2,LTR,ERVL,339,472,424,347
632,LTR16E1,LTR,ERVL,217,405,394,277
633,LTR43B,LTR,ERV1,2,44,16,20
634,MER49,LTR,ERV1,827,1300,966,750
635,MER48,LTR,ERV1,44,25,28,40
636,PRIMAX-int,LTR,ERV1,24,0,0,0
637,LTR36,LTR,ERV1,75,170,117,281
638,LTR40c,LTR,ERVL,194,268,312,176
639,UCON49,LINE,L2,52,56,16,24
640,UCON105,Unknown,Unknown,82,199,88,143
641,PRIMA4_LTR,LTR,ERV1,115,119,65,55
642,HERVK22-int,LTR,ERVK,958,1448,1288,745
643,tRNA-Arg-CGG,tRNA,tRNA,0,0,0,0
644,Tigger6a,DNA,TcMar-Tigger,382,578,271,464
645,Tigger6b,DNA,TcMar-Tigger,16,116,40,60
646,SVA_F,Retroposon,SVA,208,224,315,251
647,tRNA-Arg-CGA,tRNA,tRNA,0,0,0,0
648,MER52D,LTR,ERV1,269,204,148,96
649,L1MCb,LINE,L1,188,352,218,224
650,L1MCc,LINE,L1,597,1027,822,865
651,L1PB2,LINE,L1,860,1386,853,559
652,L1MCa,LINE,L1,1309,3065,1476,1135
653,L1PB4,LINE,L1,1281,2993,1950,1301
654,MER72B,LTR,ERV1,32,64,32,16
655,MER102b,DNA,hAT-Charlie,1490,2011,2167,1567
656,MER102c,DNA,hAT-Charlie,863,1292,1531,1046
657,MER102a,DNA,hAT-Charlie,1076,1089,1138,829
658,LTR58,LTR,ERV1,20,48,80,24
659,AluYa5,SINE,Alu,152,227,135,163
660,tRNA-Arg-AGG,tRNA,tRNA,0,0,0,31
661,LTR53-int,LTR,ERVL,98,254,180,131
662,AluYa8,SINE,Alu,27,28,35,13
663,LTR55,LTR,ERVL?,60,88,36,59
664,LTR56,LTR,ERV1,225,243,274,264
665,LTR57,LTR,ERVL,64,94,48,76
666,LTR45C,LTR,ERV1,147,245,114,96
667,LTR45B,LTR,ERV1,30,68,129,40
668,LTR52,LTR,ERVL,112,168,72,263
669,LTR53,LTR,ERVL,126,165,209,111
670,MER39,LTR,ERV1,488,826,623,410
671,MER34B-int,LTR,ERV1,182,448,316,184
672,LTR75B,LTR,ERVL,21,44,44,74
673,CR1-12_AMi,LINE,CR1,4,52,40,0
674,CR1_Mam,LINE,CR1,820,870,744,606
675,MER33,DNA,hAT-Charlie,2692,5105,3491,2897
676,MER34,LTR,ERV1,303,427,267,195
677,L1P4d,LINE,L1,61,25,5,12
678,MLT1G3-int,LTR,ERVL-MaLR,234,164,60,56
679,HERVI-int,LTR,ERV1,136,84,93,74
680,Eulor6A,DNA?,DNA?,0,0,0,0
681,Eulor6B,DNA?,DNA?,0,0,0,0
682,L1P4e,LINE,L1,0,32,12,42
683,Eulor6D,DNA?,DNA?,0,0,16,0
684,Eulor6E,DNA?,DNA?,32,20,0,0
685,MER83A-int,LTR,ERV1,16,4,24,20
686,MER44C,DNA,TcMar-Tigger,436,1147,775,728
687,L1MC2,LINE,L1,1901,3809,3100,2566
688,L1MC3,LINE,L1,3449,6430,4144,3605
689,FRAM,SINE,Alu,1298,1880,1592,1303
690,L1MC1,LINE,L1,6124,10959,8392,6882
691,MLT1M,LTR,ERVL-MaLR,437,540,451,334
692,L1MC4,LINE,L1,10204,18898,14230,11588
693,HERV9-int,LTR,ERV1,117,170,159,163
694,X8_LINE,LINE,CR1,48,88,119,44
695,L2b,LINE,L2,47054,67845,45431,37759
696,L1MB7,LINE,L1,11941,24185,16610,12651
697,LTR81C,LTR,Gypsy,12,36,50,12
698,LTR38-int,LTR,ERV1,16,12,44,0
699,Helitron1Nb_Mam,RC,Helitron,32,79,62,16
700,LTR5A,LTR,ERVK,191,185,301,143
701,LTR5B,LTR,ERVK,298,566,373,228
702,LTR81B,LTR,Gypsy,60,180,71,107
703,BC200,scRNA,scRNA,111,102,189,120
704,L4_C_Mam,LINE,RTE-X,869,1978,1318,1107
705,LTR81A,LTR,Gypsy,47,175,135,94
706,LTR28B,LTR,ERV1,71,84,64,72
707,LTR28C,LTR,ERV1,116,275,83,112
708,LTR104_Mam,LTR,Gypsy,319,403,186,212
709,Tigger17,DNA,TcMar-Tigger,60,44,24,12
710,Tigger10,DNA,TcMar-Tigger,980,1149,1151,1242
711,MLT1F2-int,LTR,ERVL-MaLR,45,101,48,51
712,Tigger12,DNA,TcMar-Tigger,385,716,346,470
713,MER4E,LTR,ERV1,263,392,332,279
714,MER4D,LTR,ERV1,251,423,418,310
715,tRNA-Ser-TCA_,tRNA,tRNA,0,0,0,8
716,MER4A,LTR,ERV1,358,352,753,385
717,MLT1E,LTR,ERVL-MaLR,104,88,122,88
718,MER4C,LTR,ERV1,55,144,112,72
719,MER4B,LTR,ERV1,577,1264,1181,925
720,MSTA-int,LTR,ERVL-MaLR,1323,2284,1507,1173
721,MLT1J2-int,LTR,ERVL-MaLR,83,135,44,26
722,MLT1D-int,LTR,ERVL-MaLR,1110,1114,1893,1910
723,HERV-Fc1_LTR1,LTR,ERV1,0,0,0,0
724,HERV-Fc1_LTR2,LTR,ERV1,0,0,0,0
725,HERV-Fc1_LTR3,LTR,ERV1,0,0,0,0
726,LTR50,LTR,ERVL,641,791,873,687
727,MER6,DNA,TcMar-Tigger,245,451,316,375
728,LTR80A,LTR,ERVL,16,67,56,8
729,LTR80B,LTR,ERVL,70,68,52,36
730,HAL1,LINE,L1,7082,14573,10806,8336
731,Chompy-7_Croc,DNA,PIF-Harbinger,0,0,0,0
732,HERV9NC-int,LTR,ERV1,189,335,147,185
733,MLT2D,LTR,ERVL,746,965,908,767
734,MLT2E,LTR,ERVL,8,52,100,20
735,GSAT,Satellite,centr,0,0,0,0
736,MER34A,LTR,ERV1,192,334,163,162
737,HUERS-P1-int,LTR,ERV1,159,226,176,154
738,MER34C,LTR,ERV1,24,91,4,16
739,MER34B,LTR,ERV1,135,302,388,174
740,Ricksha_0,DNA,MULE-MuDR,88,134,206,102
741,ORSL-2b,DNA,hAT-Tip100,175,311,188,139
742,DNA1_Mam,DNA,TcMar,68,87,24,83
743,PrimLTR79,LTR,ERV1,66,59,72,64
744,LTR57-int,LTR,ERVL,46,56,90,40
745,LTR8B,LTR,ERV1,343,515,447,566
746,LTR8A,LTR,ERV1,596,825,880,683
747,Tigger12A,DNA,TcMar-Tigger,318,418,470,305
748,L1ME4a,LINE,L1,9969,19029,12121,8409
749,UCON9,Unknown,Unknown,12,16,0,0
750,L1ME4c,LINE,L1,2416,4047,3709,3062
751,L1ME4b,LINE,L1,9277,16630,11755,8852
752,LTR89,LTR,ERVL?,173,315,278,253
753,LTR14A,LTR,ERVK,26,20,16,0
754,LTR87,LTR,ERVL?,389,340,408,444
755,UCON1,Unknown,Unknown,0,24,0,4
756,UCON2,DNA?,DNA?,60,64,20,66
757,ORSL-2a,DNA,hAT-Tip100,44,59,147,118
758,LTR83,LTR,ERVL,203,163,172,72
759,UCON5,Unknown,Unknown,0,0,4,0
760,LTR81,LTR,Gypsy,8,44,12,12
761,UCON7,DNA?,DNA?,0,0,0,0
762,MER121B,DNA,hAT?,0,8,0,0
763,MER65D,LTR,ERV1,108,121,69,24
764,MER124,DNA?,DNA?,268,402,398,280
765,MER57-int,LTR,ERV1,235,513,287,466
766,UCON93,Unknown,Unknown,8,11,0,0
767,Charlie17a,DNA,hAT-Charlie,247,328,250,288
768,Charlie17b,DNA,hAT-Charlie,48,44,72,92
769,HUERS-P3-int,LTR,ERV1,1020,938,2107,1387
770,MER34-int,LTR,ERV1,774,507,1721,865
771,UCON79,DNA?,DNA?,4,0,0,0
772,UCON61,Unknown,Unknown,0,0,0,0
773,Eulor8,DNA,TcMar?,0,4,0,4
774,UCON70,Unknown,Unknown,28,40,99,64
775,Eulor4,Unknown,Unknown,0,0,0,0
776,7SK,RNA,RNA,99879,94593,89659,65122
777,UCON73,Unknown,Unknown,12,112,135,120
778,L1P,LINE,L1,8,9,3,12
779,UCON75,Unknown,Unknown,0,0,0,0
780,Eulor3,DNA?,DNA?,0,0,0,0
781,UCON77,Unknown,Unknown,0,21,0,0
782,LTR25-int,LTR,ERV1,746,857,938,739
783,L1M,LINE,L1,196,211,203,104
784,Zaphod,DNA,hAT-Tip100,308,328,265,136
785,Tigger18a,DNA,TcMar-Tigger,302,671,586,467
786,tRNA-Arg-CGY_,tRNA,tRNA,0,1,0,0
787,Tigger3,DNA,TcMar-Tigger,255,558,449,428
788,MLT1I-int,LTR,ERVL-MaLR,136,91,141,26
789,MER4B-int,LTR,ERV1,165,457,304,156
790,LTR106_Mam,LTR,LTR,80,140,72,40
791,X6B_LINE,LINE,CR1,355,422,472,389
792,MLT1A-int,LTR,ERVL-MaLR,223,360,398,293
793,tRNA-Ile-ATC,tRNA,tRNA,0,0,3,0
794,Eulor11,DNA,DNA,0,8,20,0
795,Eulor10,DNA?,DNA?,0,0,0,0
796,Eulor12,DNA?,DNA?,0,35,0,0
797,MamGypLTR1c,LTR,Gypsy,124,180,132,88
798,LTR48B,LTR,ERV1,958,863,881,815
799,Tigger4,DNA,TcMar-Tigger,616,1180,696,635
800,tRNA-Ile-ATT,tRNA,tRNA,7,44,56,28
801,AluYe5,SINE,Alu,95,142,125,211
802,AluYe6,SINE,Alu,57,32,71,28
803,LTR13,LTR,ERVK,590,1353,1112,732
804,LTR14,LTR,ERVK,31,58,57,10
805,LTR15,LTR,ERV1,317,180,336,208
806,LTR16,LTR,ERVL,229,643,386,289
807,LTR17,LTR,ERV1,279,497,331,288
808,tRNA-Leu-CTA_,tRNA,tRNA,0,0,0,0
809,MER5A1,DNA,hAT-Charlie,2337,3650,2827,2450
810,LTR78B,LTR,ERV1,321,487,427,316
811,MER97d,DNA,hAT-Tip100,24,95,134,64
812,MLT1I,LTR,ERVL-MaLR,1732,3046,2077,1512
813,MER9B,LTR,ERVK,11,0,0,8
814,LTR51,LTR,ERV1,16,88,80,84
815,X7C_LINE,LINE,CR1,220,142,127,136
816,Merlin1_HS,DNA,Merlin,48,92,44,12
817,LTR40A1,LTR,ERVL,107,218,202,68
818,LTR41C,LTR,ERVL,277,276,244,159
819,LTR41B,LTR,ERVL,662,664,1026,570
820,Kanga2_a,DNA,TcMar-Tc2,443,978,953,671
821,LTR29,LTR,ERV1,190,144,192,131
822,LTR14C,LTR,ERVK,38,29,3,0
823,LTR14B,LTR,ERVK,106,107,116,56
824,LTR22B2,LTR,ERVK,0,0,24,0
825,MER101B,LTR,ERV1,44,47,52,28
826,MSTB1,LTR,ERVL-MaLR,1192,1510,1058,630
827,LTR103b_Mam,LTR,ERV1?,16,120,64,40
828,AluYk11,SINE,Alu,112,131,185,107
829,AluYk12,SINE,Alu,22,34,30,34
830,LTR33B,LTR,ERVL,147,255,293,240
831,HERVE_a-int,LTR,ERV1,109,85,88,62
832,LTR33A,LTR,ERVL,119,443,262,217
833,U14,snRNA,snRNA,218,112,64,100
834,LTR105_Mam,LTR,ERVL,156,131,60,104
835,Tigger19b,DNA,TcMar-Tigger,1395,2011,2070,1584
836,Helitron3Na_Mam,RC,Helitron,163,382,259,257
837,L1PA2,LINE,L1,656,1283,758,725
838,L1PA5,LINE,L1,2322,4316,2844,2526
839,L1PA4,LINE,L1,1478,3217,2029,1651
840,L1PA7,LINE,L1,4148,9356,5793,5288
841,L1PA6,LINE,L1,13895,15318,20564,18541
842,L1PA8,LINE,L1,1881,3445,2376,1804
843,MER90,LTR,ERV1,188,172,185,134
844,L1P4c,LINE,L1,0,0,0,0
845,MER94,DNA,hAT-Blackjack,931,1591,1264,1137
846,MER11A,LTR,ERVK,203,624,393,340
847,LTR65,LTR,ERV1,132,308,246,178
848,LTR64,LTR,ERV1,60,144,116,90
849,LTR1B,LTR,ERV1,356,244,844,352
850,LTR1C,LTR,ERV1,0,47,12,8
851,LTR1D,LTR,ERV1,40,176,71,121
852,LTR1E,LTR,ERV1,108,100,40,28
853,LTR1F,LTR,ERV1,4,52,57,0
854,LTR62,LTR,ERVL,91,64,100,104
855,MER41B,LTR,ERV1,442,703,571,413
856,MER5B,DNA,hAT-Charlie,4788,7227,6457,5646
857,MER67A,LTR,ERV1,188,170,248,113
858,hAT-N1_Mam,DNA,hAT-Tip100?,184,258,180,102
859,LTR69,LTR,ERVL,71,72,19,16
860,LTR68,LTR,ERV1,77,55,99,10
861,MER5C,DNA,hAT-Charlie,335,627,363,504
862,tRNA-His-CAY,tRNA,tRNA,0,0,0,0
863,AluSg,SINE,Alu,5625,6073,7241,5221
864,MER54B,LTR,ERVL,83,44,88,12
865,MER70A,LTR,ERVL,35,156,76,64
866,Tigger17c,DNA,TcMar-Tigger,442,582,378,518
867,LTR10F,LTR,ERV1,102,262,158,64
868,LTR24B,LTR,ERV1,161,330,210,189
869,Eulor7,DNA?,DNA?,0,0,0,0
870,MER97c,DNA,hAT-Tip100,8,52,32,28
871,L1MD3,LINE,L1,1554,2692,2352,1648
872,L1MD2,LINE,L1,3376,6307,4612,3764
873,L1MD1,LINE,L1,1970,4062,2521,2357
874,HERV17-int,LTR,ERV1,359,623,686,385
875,LTR1C1,LTR,ERV1,44,23,29,4
876,LTR1C3,LTR,ERV1,0,0,0,8
877,Eulor1,DNA,DNA,0,16,0,36
878,MER70B,LTR,ERVL,47,52,56,24
879,tRNA-Gly-GGY,tRNA,tRNA,0,4,8,2
880,LTR84a,LTR,ERVL,128,160,179,72
881,LTR84b,LTR,ERVL,140,415,235,190
882,UCON6,Unknown,Unknown,172,156,212,180
883,tRNA-Gly-GGG,tRNA,tRNA,0,3,0,0
884,MLT1G1-int,LTR,ERVL-MaLR,20,56,52,36
885,MER77B,LTR,ERVL,411,719,617,494
886,MER132,DNA,TcMar-Pogo,0,0,0,0
887,Tigger17b,DNA,TcMar-Tigger,28,32,40,36
888,L1ME3A,LINE,L1,4983,8795,6380,5040
889,L1ME3B,LINE,L1,3646,6199,4320,3493
890,L1ME3C,LINE,L1,510,1432,722,744
891,L1ME3D,LINE,L1,1353,2480,2226,1655
892,L1MEf,LINE,L1,3614,6475,6184,4140
893,L1ME3F,LINE,L1,2238,4939,3111,2676
894,L1ME3G,LINE,L1,4928,10010,6572,5337
895,Tigger1a_Art,DNA,TcMar-Tigger,17,62,36,72
896,MER57F,LTR,ERV1,87,149,68,33
897,MER57D,LTR,ERV1,8,163,64,67
898,MER47C,DNA,TcMar-Tigger,276,267,292,241
899,MER47B,DNA,TcMar-Tigger,171,240,228,220
900,MER47A,DNA,TcMar-Tigger,1180,2060,1588,1313
901,SVA_D,Retroposon,SVA,228,300,369,282
902,SVA_E,Retroposon,SVA,79,183,144,97
903,D20S16,Satellite,Satellite,35,16,28,0
904,MER30B,DNA,hAT-Charlie,32,116,30,45
905,SVA_A,Retroposon,SVA,341,495,361,386
906,SVA_B,Retroposon,SVA,208,245,217,149
907,FAM,SINE,Alu,1072,1128,1331,1021
908,MER89-int,LTR,ERV1,80,135,117,45
909,MER90a,LTR,ERV1,419,462,474,356
910,MER97a,DNA,hAT-Tip100,59,88,8,24
911,tRNA-Thr-ACY_,tRNA,tRNA,0,8,0,0
912,MLT1F-int,LTR,ERVL-MaLR,176,307,177,203
913,MER34C_,LTR,ERV1,45,92,69,43
914,Tigger14a,DNA,TcMar-Tigger,514,642,386,496
915,MSTD-int,LTR,ERVL-MaLR,264,538,270,277
916,Charlie22a,DNA,hAT-Charlie,398,549,443,330
917,L1MC4a,LINE,L1,3951,7935,5082,4984
918,Helitron2Na_Mam,RC?,Helitron?,317,200,409,227
919,Ricksha_a,DNA,MULE-MuDR,0,4,24,56
920,LFSINE_Vert,SINE,tRNA,1065,1265,1469,1221
921,L1MDb,LINE,L1,427,290,557,411
922,L1MDa,LINE,L1,1687,3637,2277,1607
923,UCON38,Unknown,Unknown,40,17,36,8
924,7SLRNA,srpRNA,srpRNA,79102,77008,88690,56540
925,MER6B,DNA,TcMar-Tigger,268,294,207,151
926,LOR1-int,LTR,ERV1,765,1381,890,874
927,LTR72,LTR,ERV1,36,68,16,104
928,UCON37,Unknown,Unknown,12,0,12,0
929,HERVP71A-int,LTR,ERV1,210,386,77,137
930,L1P3b,LINE,L1,1,7,5,1
931,LTR73,LTR,ERV1,57,94,104,89
932,HERV35I-int,LTR,ERV1,127,272,112,108
933,MER68,LTR,ERVL,804,1130,1194,802
934,LTR108d_Mam,LTR,ERVL,0,0,0,0
935,MamGypsy2-I,LTR,Gypsy,192,348,316,96
936,tRNA-Tyr-TAT,tRNA,tRNA,0,0,0,0
937,MER110-int,LTR,ERV1,20,71,51,77
938,Tigger2a,DNA,TcMar-Tigger,1238,1621,1046,1111
939,MLT1C-int,LTR,ERVL-MaLR,184,395,226,378
940,HY1,scRNA,scRNA,215,322,289,354
941,HY3,scRNA,scRNA,191,234,318,241
942,HY4,scRNA,scRNA,24,124,163,32
943,HY5,scRNA,scRNA,44,16,4,32
944,MamRep605,LTR?,LTR?,1179,1775,1801,1290
945,tRNA-Thr-ACY,tRNA,tRNA,0,8,0,0
946,MER87,LTR,ERV1,0,24,16,24
947,MER89,LTR,ERV1,113,280,181,144
948,HUERS-P3b-int,LTR,ERV1,356,1081,440,505
949,MER133B,DNA?,DNA?,0,0,0,0
950,HERV9N-int,LTR,ERV1,157,104,171,150
951,MER133A,DNA?,DNA?,0,8,0,4
952,Eulor5A,DNA?,DNA?,0,12,31,24
953,5S,rRNA,rRNA,770,712,1256,1540
954,Eulor5B,DNA?,DNA?,4,8,0,0
955,LTR19B,LTR,ERV1,136,289,114,68
956,LTR19C,LTR,ERV1,48,52,96,63
957,LTR19A,LTR,ERV1,445,410,658,464
958,MLT1J2,LTR,ERVL-MaLR,953,1488,1115,1033
959,MamRep564,Unknown,Unknown,136,243,463,196
960,UCON28c,Unknown,Unknown,4,39,0,28
961,MLT1J1,LTR,ERVL-MaLR,658,878,731,648
962,UCON34,Unknown,Unknown,88,84,179,88
963,LTR2C,LTR,ERV1,90,134,88,65
964,LTR2B,LTR,ERV1,91,123,153,70
965,HAL1M8,LINE,L1,857,1749,1343,1033
966,AluYi6,SINE,Alu,67,64,63,39
967,MSR1,Satellite,Satellite,77,125,168,75
968,Tigger8,DNA,TcMar-Tigger,317,468,208,343
969,LTR49-int,LTR,ERV1,266,868,696,552
970,MER31-int,LTR,ERV1,202,793,391,203
971,Tigger1,DNA,TcMar-Tigger,8550,14418,12067,9278
972,tRNA-Ala-GCY_,tRNA,tRNA,0,0,0,0
973,Kanga1d,DNA,TcMar-Tc2,32,181,79,119
974,Tigger2,DNA,TcMar-Tigger,1740,2855,1934,1746
975,Kanga1b,DNA,TcMar-Tc2,28,175,64,64
976,Kanga1c,DNA,TcMar-Tc2,158,264,130,93
977,Tigger7,DNA,TcMar-Tigger,1465,1997,1870,1413
978,Kanga1a,DNA,TcMar-Tc2,232,282,207,246
979,L1M3b,LINE,L1,55,154,136,79
980,UCON71,Unknown,Unknown,16,8,0,0
981,LTR10A,LTR,ERV1,167,141,254,208
982,tRNA-Asp-GAY,tRNA,tRNA,20,8,8,0
983,LTR10C,LTR,ERV1,222,506,213,194
984,LTR10B,LTR,ERV1,15,13,4,0
985,LTR10E,LTR,ERV1,95,140,41,74
986,LTR10D,LTR,ERV1,44,108,115,72
987,LTR10G,LTR,ERV1,36,21,36,24
988,AluY,SINE,Alu,9408,10895,11627,8860
989,SATR2,Satellite,Satellite,117,212,158,106
990,LTR16D1,LTR,ERVL,20,88,140,70
991,LTR16D2,LTR,ERVL,22,53,63,88
992,L1M3a,LINE,L1,182,211,365,153
993,MER57B1,LTR,ERV1,111,239,172,190
994,UCON85,Unknown,Unknown,0,0,4,0
995,L2-1_AMi,LINE,L2,353,395,452,490
996,MER57B2,LTR,ERV1,214,367,261,167
997,MamSINE1,SINE,tRNA-RTE,2978,3698,4513,3564
998,UCON11,DNA,TcMar-Tigger,0,0,0,0
999,Tigger3a,DNA,TcMar-Tigger,1511,2614,2143,1719
1000,HERVL40-int,LTR,ERVL,375,536,444,492
1001,MER53,DNA,hAT,716,1058,807,713
1002,MER50,LTR,ERV1,224,495,251,276
1003,MER52-int,LTR,ERV1,44,62,38,44
1004,UCON76,Unknown,Unknown,0,0,0,0
1005,Penelope1_Vert,LINE,Penelope,272,572,482,406
1006,MER87B,LTR,ERV1,56,60,88,112
1007,MamRep434,DNA,TcMar-Tigger,728,1203,807,646
1008,HERVFH19-int,LTR,ERV1,56,138,32,46
1009,L2-3_Crp,LINE,L2,502,847,720,752
1010,HERVK14C-int,LTR,ERVK,6,21,8,6
1011,HAL1ME,LINE,L1,1784,3451,2202,1664
1012,LTR28,LTR,ERV1,8,56,20,28
1013,MLT1A1-int,LTR,ERVL-MaLR,139,300,287,194
1014,FLAM_C,SINE,Alu,3543,4810,4993,3587
1015,LTR81AB,LTR,Gypsy,15,0,8,0
1016,FLAM_A,SINE,Alu,2138,2998,2944,2292
1017,L1M6B,LINE,L1,222,570,235,209
1018,MER121,DNA,hAT?,16,148,75,20
1019,LTR37B,LTR,ERV1,365,506,317,292
1020,LTR23,LTR,ERV1,119,175,149,138
1021,LTR22,LTR,ERVK,40,31,44,43
1022,LTR25,LTR,ERV1,82,52,60,56
1023,LTR12,LTR,ERV1,93,308,180,169
