,gene,class,family,S27,S28,S21,S22
512,UCON33,DNA,TcMar-Tigger,0,39,12,16
513,Helitron1Na_Mam,RC,Helitron,28,20,40,12
514,LTR12C,LTR,ERV1,995,899,1080,995
515,LTR12B,LTR,ERV1,18,9,11,14
516,MER61-int,LTR,ERV1,578,345,368,390
517,tRNA-Ile-ATA,tRNA,tRNA,20,12,54,32
518,LTR12F,LTR,ERV1,81,58,104,83
519,LTR12E,LTR,ERV1,109,97,122,100
520,LTR12D,LTR,ERV1,71,116,132,135
521,tRNA-Met,tRNA,tRNA,20,34,12,12
522,HERV30-int,LTR,ERV1,20,20,32,28
523,tRNA-Ser-TCY,tRNA,tRNA,0,0,0,0
524,U13,snRNA,snRNA,30,78,140,132
525,LTR47A2,LTR,ERVL,88,84,152,128
526,LTR40a,LTR,ERVL,336,290,423,385
527,LTR40b,LTR,ERVL,200,293,353,330
528,LTR33A_,LTR,ERVL,209,130,168,352
529,LTR12_,LTR,ERV1,57,69,120,59
530,UCON96,Unknown,Unknown,20,12,20,8
531,MLT1M-int,LTR,ERVL-MaLR,0,0,0,0
532,Eulor9A,DNA,DNA,40,44,28,27
533,MamGypsy2-LTR,LTR,Gypsy,59,64,55,92
534,Eulor9C,DNA,DNA,8,0,8,16
535,Eulor9B,DNA,DNA,20,0,0,0
536,tRNA-Met-i,tRNA,tRNA,0,0,0,0
537,MER123,DNA?,DNA?,4,0,8,0
538,BSR_Beta,Satellite,Satellite,173,272,358,251
539,LTR2,LTR,ERV1,251,264,430,245
540,MER2,DNA,TcMar-Tigger,3372,3586,5215,4138
541,MER3,DNA,hAT-Charlie,3227,2525,3542,2746
542,Arthur1C,DNA,hAT-Tip100,104,98,132,96
543,HERVL74-int,LTR,ERVL,336,131,333,284
544,Arthur1A,DNA,hAT-Tip100,230,185,376,255
545,HERV1_LTRa,LTR,ERV1,8,28,45,35
546,HERV1_LTRc,LTR,ERV1,4,16,32,0
547,HERV1_LTRb,LTR,ERV1,4,19,32,0
548,HERV1_LTRe,LTR,ERV1,0,0,12,0
549,HERV1_LTRd,LTR,ERV1,32,16,4,0
550,MER4-int,LTR,ERV1,1390,728,1340,780
551,Tigger4b,DNA,TcMar-Tigger,1748,1450,1999,1521
552,MER106B,DNA,hAT-Charlie,223,192,303,323
553,MER106A,DNA,hAT-Charlie,164,204,342,219
554,MamGypLTR1a,LTR,Gypsy,52,52,100,28
555,L1M3de,LINE,L1,155,127,177,91
556,MamGypLTR1b,LTR,Gypsy,1658,1239,1825,1356
557,MamGypLTR1d,LTR,Gypsy,64,46,103,60
558,L1PA15-16,LINE,L1,356,261,229,343
559,MER44D,DNA,TcMar-Tigger,329,261,277,348
560,MER113,DNA,hAT-Charlie,974,766,893,737
561,tRNA-Val-GTY,tRNA,tRNA,0,0,8,0
562,LTR3B_,LTR,ERVK,48,82,189,164
563,MER65C,LTR,ERV1,854,919,1474,993
564,HERV-Fc2_LTR,LTR,ERV1,0,0,0,0
565,MER41A,LTR,ERV1,421,376,579,472
566,MER66-int,LTR,ERV1,255,177,265,217
567,TAR1,Satellite,telo,10,5,2,7
568,Tigger16b,DNA,TcMar-Tigger,798,596,851,790
569,MER74C,LTR,ERVL,12,0,28,40
570,UCON84,Unknown,Unknown,0,12,0,0
571,MLT2A1,LTR,ERVL,484,392,415,296
572,U4,snRNA,snRNA,25,91,159,184
573,MLT1E-int,LTR,ERVL-MaLR,0,0,0,0
574,MER74B,LTR,ERVL,165,164,248,324
575,L2-1_Crp,LINE,L2,4,12,64,52
576,MLT2A2,LTR,ERVL,569,536,457,585
577,Arthur1B,DNA,hAT-Tip100,311,296,332,303
578,PRIMA4-int,LTR,ERV1,302,309,417,205
579,THE1D-int,LTR,ERVL-MaLR,946,869,771,978
580,Mam_R4,LINE,Dong-R4,153,100,35,117
581,MLT1G1,LTR,ERVL-MaLR,921,1082,1070,1088
582,MLT1G3,LTR,ERVL-MaLR,479,474,510,700
583,Charlie25,DNA,hAT-Charlie,289,165,68,179
584,Charlie24,DNA,hAT-Charlie,290,349,457,378
585,LTR6B,LTR,ERV1,427,209,459,223
586,UCON72,Unknown,Unknown,0,0,4,0
587,tRNA-SeC_e_-TGA,tRNA,tRNA,20,0,8,24
588,MLT1H-int,LTR,ERVL-MaLR,286,159,242,219
589,LOR1a,LTR,ERV1,429,545,395,577
590,Arthur1,DNA,hAT-Tip100,309,226,379,211
591,MLT1J1-int,LTR,ERVL-MaLR,68,12,84,66
592,LOR1b,LTR,ERV1,125,134,205,102
593,LTR10B1,LTR,ERV1,127,88,230,108
594,LTR10B2,LTR,ERV1,8,60,48,20
595,LTR108c_Mam,LTR,ERVL,0,0,0,0
596,MLT1K-int,LTR,ERVL-MaLR,28,8,52,28
597,MIRb,SINE,MIR,52607,50272,65787,52976
598,Charlie13a,DNA,hAT-Charlie,184,141,144,110
599,Charlie13b,DNA,hAT-Charlie,94,172,208,157
600,UCON132b,DNA,hAT-Tip100,87,153,77,125
601,MER63B,DNA,hAT-Blackjack,481,481,564,485
602,LTR39,LTR,ERV1,813,793,1294,517
603,UCON78,DNA,DNA,72,4,111,56
604,AluYj4,SINE,Alu,317,322,318,267
605,MER66D,LTR,ERV1,19,24,16,4
606,LTR107_Mam,LTR,LTR,60,35,56,16
607,MER66C,LTR,ERV1,98,95,70,74
608,MER91B,DNA,hAT-Tip100,283,265,281,187
609,MER66A,LTR,ERV1,68,100,136,88
610,Charlie2a,DNA,hAT-Charlie,745,672,800,714
611,Charlie2b,DNA,hAT-Charlie,882,745,1100,966
612,L1MA8,LINE,L1,2836,2757,3082,2513
613,MER50B,LTR,ERV1,148,105,84,81
614,MIRc,SINE,MIR,23446,23325,28209,23030
615,tRNA-Lys-AAA,tRNA,tRNA,8,24,0,20
616,LTR22C0,LTR,ERVK,55,53,99,103
617,X1_LINE,LINE,CR1,12,12,4,0
618,LTR22C2,LTR,ERVK,2,12,5,0
619,MER46C,DNA,TcMar-Tigger,2010,1870,2524,2035
620,MER31B,LTR,ERV1,319,252,438,369
621,MamRep38,DNA,hAT,324,295,387,289
622,MER31A,LTR,ERV1,376,206,310,350
623,MER107,DNA,hAT-Charlie,63,57,139,57
624,L4_B_Mam,LINE,RTE-X,847,686,935,739
625,MER34D,LTR,ERV1,40,60,80,83
626,LTR88b,LTR,Gypsy?,248,217,236,251
627,MamRep1151,LTR?,LTR?,296,319,162,235
628,MER20,DNA,hAT-Charlie,4732,4959,6484,4921
629,LTR30,LTR,ERV1,18,34,70,26
630,LTR7,LTR,ERV1,434,326,427,298
631,LTR16E2,LTR,ERVL,340,347,424,347
632,LTR16E1,LTR,ERVL,398,256,394,277
633,LTR43B,LTR,ERV1,41,24,16,20
634,MER49,LTR,ERV1,822,843,966,750
635,MER48,LTR,ERV1,67,48,28,40
636,PRIMAX-int,LTR,ERV1,16,0,0,0
637,LTR36,LTR,ERV1,136,241,117,281
638,LTR40c,LTR,ERVL,180,232,312,176
639,UCON49,LINE,L2,44,48,16,24
640,UCON105,Unknown,Unknown,108,63,88,143
641,PRIMA4_LTR,LTR,ERV1,75,68,65,55
642,HERVK22-int,LTR,ERVK,774,762,1288,745
643,tRNA-Arg-CGG,tRNA,tRNA,0,0,0,0
644,Tigger6a,DNA,TcMar-Tigger,427,387,271,464
645,Tigger6b,DNA,TcMar-Tigger,61,48,40,60
646,SVA_F,Retroposon,SVA,155,180,315,251
647,tRNA-Arg-CGA,tRNA,tRNA,0,0,0,0
648,MER52D,LTR,ERV1,61,133,148,96
649,L1MCb,LINE,L1,313,212,218,224
650,L1MCc,LINE,L1,676,600,822,865
651,L1PB2,LINE,L1,817,652,853,559
652,L1MCa,LINE,L1,1787,1209,1476,1135
653,L1PB4,LINE,L1,1444,1897,1950,1301
654,MER72B,LTR,ERV1,44,40,32,16
655,MER102b,DNA,hAT-Charlie,1330,1307,2167,1567
656,MER102c,DNA,hAT-Charlie,1130,940,1531,1046
657,MER102a,DNA,hAT-Charlie,1121,923,1138,829
658,LTR58,LTR,ERV1,24,52,80,24
659,AluYa5,SINE,Alu,153,233,135,163
660,tRNA-Arg-AGG,tRNA,tRNA,12,4,0,31
661,LTR53-int,LTR,ERVL,118,136,180,131
662,AluYa8,SINE,Alu,14,26,35,13
663,LTR55,LTR,ERVL?,56,40,36,59
664,LTR56,LTR,ERV1,186,163,274,264
665,LTR57,LTR,ERVL,41,111,48,76
666,LTR45C,LTR,ERV1,80,97,114,96
667,LTR45B,LTR,ERV1,80,70,129,40
668,LTR52,LTR,ERVL,80,92,72,263
669,LTR53,LTR,ERVL,119,101,209,111
670,MER39,LTR,ERV1,489,529,623,410
671,MER34B-int,LTR,ERV1,167,190,316,184
672,LTR75B,LTR,ERVL,7,29,44,74
673,CR1-12_AMi,LINE,CR1,32,12,40,0
674,CR1_Mam,LINE,CR1,622,853,744,606
675,MER33,DNA,hAT-Charlie,2659,2897,3491,2897
676,MER34,LTR,ERV1,236,227,267,195
677,L1P4d,LINE,L1,21,28,5,12
678,MLT1G3-int,LTR,ERVL-MaLR,132,166,60,56
679,HERVI-int,LTR,ERV1,29,68,93,74
680,Eulor6A,DNA?,DNA?,0,0,0,0
681,Eulor6B,DNA?,DNA?,0,0,0,0
682,L1P4e,LINE,L1,24,0,12,42
683,Eulor6D,DNA?,DNA?,0,20,16,0
684,Eulor6E,DNA?,DNA?,36,8,0,0
685,MER83A-int,LTR,ERV1,52,18,24,20
686,MER44C,DNA,TcMar-Tigger,585,488,775,728
687,L1MC2,LINE,L1,2394,2521,3100,2566
688,L1MC3,LINE,L1,3940,3636,4144,3605
689,FRAM,SINE,Alu,1139,1009,1592,1303
690,L1MC1,LINE,L1,6765,7962,8392,6882
691,MLT1M,LTR,ERVL-MaLR,487,457,451,334
692,L1MC4,LINE,L1,11216,11060,14230,11588
693,HERV9-int,LTR,ERV1,211,132,159,163
694,X8_LINE,LINE,CR1,32,44,119,44
695,L2b,LINE,L2,38229,40370,45431,37759
696,L1MB7,LINE,L1,12200,12571,16610,12651
697,LTR81C,LTR,Gypsy,73,12,50,12
698,LTR38-int,LTR,ERV1,4,8,44,0
699,Helitron1Nb_Mam,RC,Helitron,24,32,62,16
700,LTR5A,LTR,ERVK,148,198,301,143
701,LTR5B,LTR,ERVK,259,264,373,228
702,LTR81B,LTR,Gypsy,60,72,71,107
703,BC200,scRNA,scRNA,129,78,189,120
704,L4_C_Mam,LINE,RTE-X,1507,992,1318,1107
705,LTR81A,LTR,Gypsy,67,73,135,94
706,LTR28B,LTR,ERV1,79,35,64,72
707,LTR28C,LTR,ERV1,240,154,83,112
708,LTR104_Mam,LTR,Gypsy,339,293,186,212
709,Tigger17,DNA,TcMar-Tigger,40,12,24,12
710,Tigger10,DNA,TcMar-Tigger,882,1033,1151,1242
711,MLT1F2-int,LTR,ERVL-MaLR,35,124,48,51
712,Tigger12,DNA,TcMar-Tigger,501,524,346,470
713,MER4E,LTR,ERV1,224,191,332,279
714,MER4D,LTR,ERV1,542,214,418,310
715,tRNA-Ser-TCA_,tRNA,tRNA,0,0,0,8
716,MER4A,LTR,ERV1,483,263,753,385
717,MLT1E,LTR,ERVL-MaLR,92,127,122,88
718,MER4C,LTR,ERV1,100,151,112,72
719,MER4B,LTR,ERV1,1034,934,1181,925
720,MSTA-int,LTR,ERVL-MaLR,1232,1354,1507,1173
721,MLT1J2-int,LTR,ERVL-MaLR,73,83,44,26
722,MLT1D-int,LTR,ERVL-MaLR,1076,1320,1893,1910
723,HERV-Fc1_LTR1,LTR,ERV1,0,0,0,0
724,HERV-Fc1_LTR2,LTR,ERV1,0,0,0,0
725,HERV-Fc1_LTR3,LTR,ERV1,0,0,0,0
726,LTR50,LTR,ERVL,516,710,873,687
727,MER6,DNA,TcMar-Tigger,356,464,316,375
728,LTR80A,LTR,ERVL,64,21,56,8
729,LTR80B,LTR,ERVL,68,24,52,36
730,HAL1,LINE,L1,8151,7494,10806,8336
731,Chompy-7_Croc,DNA,PIF-Harbinger,0,4,0,0
732,HERV9NC-int,LTR,ERV1,192,100,147,185
733,MLT2D,LTR,ERVL,807,931,908,767
734,MLT2E,LTR,ERVL,16,12,100,20
735,GSAT,Satellite,centr,0,0,0,0
736,MER34A,LTR,ERV1,165,121,163,162
737,HUERS-P1-int,LTR,ERV1,112,186,176,154
738,MER34C,LTR,ERV1,60,12,4,16
739,MER34B,LTR,ERV1,188,203,388,174
740,Ricksha_0,DNA,MULE-MuDR,120,123,206,102
741,ORSL-2b,DNA,hAT-Tip100,124,92,188,139
742,DNA1_Mam,DNA,TcMar,4,44,24,83
743,PrimLTR79,LTR,ERV1,128,32,72,64
744,LTR57-int,LTR,ERVL,98,80,90,40
745,LTR8B,LTR,ERV1,514,587,447,566
746,LTR8A,LTR,ERV1,671,722,880,683
747,Tigger12A,DNA,TcMar-Tigger,248,267,470,305
748,L1ME4a,LINE,L1,10581,8967,12121,8409
749,UCON9,Unknown,Unknown,0,0,0,0
750,L1ME4c,LINE,L1,2835,2714,3709,3062
751,L1ME4b,LINE,L1,9541,9265,11755,8852
752,LTR89,LTR,ERVL?,204,215,278,253
753,LTR14A,LTR,ERVK,17,4,16,0
754,LTR87,LTR,ERVL?,271,253,408,444
755,UCON1,Unknown,Unknown,4,4,0,4
756,UCON2,DNA?,DNA?,40,56,20,66
757,ORSL-2a,DNA,hAT-Tip100,82,92,147,118
758,LTR83,LTR,ERVL,127,76,172,72
759,UCON5,Unknown,Unknown,0,0,4,0
760,LTR81,LTR,Gypsy,8,40,12,12
761,UCON7,DNA?,DNA?,8,0,0,0
762,MER121B,DNA,hAT?,0,0,0,0
763,MER65D,LTR,ERV1,56,64,69,24
764,MER124,DNA?,DNA?,383,172,398,280
765,MER57-int,LTR,ERV1,282,369,287,466
766,UCON93,Unknown,Unknown,0,0,0,0
767,Charlie17a,DNA,hAT-Charlie,226,297,250,288
768,Charlie17b,DNA,hAT-Charlie,110,67,72,92
769,HUERS-P3-int,LTR,ERV1,554,1054,2107,1387
770,MER34-int,LTR,ERV1,758,470,1721,865
771,UCON79,DNA?,DNA?,4,8,0,0
772,UCON61,Unknown,Unknown,0,0,0,0
773,Eulor8,DNA,TcMar?,0,24,0,4
774,UCON70,Unknown,Unknown,64,24,99,64
775,Eulor4,Unknown,Unknown,8,0,0,0
776,7SK,RNA,RNA,54263,71626,89659,65122
777,UCON73,Unknown,Unknown,108,56,135,120
778,L1P,LINE,L1,3,11,3,12
779,UCON75,Unknown,Unknown,0,0,0,0
780,Eulor3,DNA?,DNA?,0,0,0,0
781,UCON77,Unknown,Unknown,4,12,0,0
782,LTR25-int,LTR,ERV1,648,783,938,739
783,L1M,LINE,L1,136,75,203,104
784,Zaphod,DNA,hAT-Tip100,187,169,265,136
785,Tigger18a,DNA,TcMar-Tigger,464,314,586,467
786,tRNA-Arg-CGY_,tRNA,tRNA,0,27,0,0
787,Tigger3,DNA,TcMar-Tigger,463,272,449,428
788,MLT1I-int,LTR,ERVL-MaLR,74,39,141,26
789,MER4B-int,LTR,ERV1,209,255,304,156
790,LTR106_Mam,LTR,LTR,31,84,72,40
791,X6B_LINE,LINE,CR1,372,324,472,389
792,MLT1A-int,LTR,ERVL-MaLR,324,211,398,293
793,tRNA-Ile-ATC,tRNA,tRNA,0,0,3,0
794,Eulor11,DNA,DNA,4,28,20,0
795,Eulor10,DNA?,DNA?,0,0,0,0
796,Eulor12,DNA?,DNA?,0,8,0,0
797,MamGypLTR1c,LTR,Gypsy,140,179,132,88
798,LTR48B,LTR,ERV1,660,627,881,815
799,Tigger4,DNA,TcMar-Tigger,732,587,696,635
800,tRNA-Ile-ATT,tRNA,tRNA,52,52,56,28
801,AluYe5,SINE,Alu,118,132,125,211
802,AluYe6,SINE,Alu,36,62,71,28
803,LTR13,LTR,ERVK,632,589,1112,732
804,LTR14,LTR,ERVK,41,27,57,10
805,LTR15,LTR,ERV1,239,157,336,208
806,LTR16,LTR,ERVL,310,413,386,289
807,LTR17,LTR,ERV1,357,248,331,288
808,tRNA-Leu-CTA_,tRNA,tRNA,0,0,0,0
809,MER5A1,DNA,hAT-Charlie,2368,2902,2827,2450
810,LTR78B,LTR,ERV1,360,432,427,316
811,MER97d,DNA,hAT-Tip100,52,47,134,64
812,MLT1I,LTR,ERVL-MaLR,1568,1727,2077,1512
813,MER9B,LTR,ERVK,4,8,0,8
814,LTR51,LTR,ERV1,48,64,80,84
815,X7C_LINE,LINE,CR1,96,84,127,136
816,Merlin1_HS,DNA,Merlin,88,44,44,12
817,LTR40A1,LTR,ERVL,216,135,202,68
818,LTR41C,LTR,ERVL,148,152,244,159
819,LTR41B,LTR,ERVL,676,556,1026,570
820,Kanga2_a,DNA,TcMar-Tc2,636,606,953,671
821,LTR29,LTR,ERV1,123,169,192,131
822,LTR14C,LTR,ERVK,4,11,3,0
823,LTR14B,LTR,ERVK,48,119,116,56
824,LTR22B2,LTR,ERVK,0,0,24,0
825,MER101B,LTR,ERV1,4,32,52,28
826,MSTB1,LTR,ERVL-MaLR,1148,990,1058,630
827,LTR103b_Mam,LTR,ERV1?,44,44,64,40
828,AluYk11,SINE,Alu,119,81,185,107
829,AluYk12,SINE,Alu,33,33,30,34
830,LTR33B,LTR,ERVL,176,182,293,240
831,HERVE_a-int,LTR,ERV1,76,32,88,62
832,LTR33A,LTR,ERVL,330,349,262,217
833,U14,snRNA,snRNA,156,144,64,100
834,LTR105_Mam,LTR,ERVL,76,68,60,104
835,Tigger19b,DNA,TcMar-Tigger,1519,1647,2070,1584
836,Helitron3Na_Mam,RC,Helitron,268,260,259,257
837,L1PA2,LINE,L1,617,732,758,725
838,L1PA5,LINE,L1,2617,2606,2844,2526
839,L1PA4,LINE,L1,1762,1777,2029,1651
840,L1PA7,LINE,L1,5376,6007,5793,5288
841,L1PA6,LINE,L1,16886,16438,20564,18541
842,L1PA8,LINE,L1,2047,2441,2376,1804
843,MER90,LTR,ERV1,103,135,185,134
844,L1P4c,LINE,L1,0,0,0,0
845,MER94,DNA,hAT-Blackjack,1010,920,1264,1137
846,MER11A,LTR,ERVK,265,226,393,340
847,LTR65,LTR,ERV1,228,154,246,178
848,LTR64,LTR,ERV1,116,52,116,90
849,LTR1B,LTR,ERV1,363,250,844,352
850,LTR1C,LTR,ERV1,4,28,12,8
851,LTR1D,LTR,ERV1,63,99,71,121
852,LTR1E,LTR,ERV1,92,16,40,28
853,LTR1F,LTR,ERV1,20,16,57,0
854,LTR62,LTR,ERVL,68,60,100,104
855,MER41B,LTR,ERV1,484,528,571,413
856,MER5B,DNA,hAT-Charlie,5487,5060,6457,5646
857,MER67A,LTR,ERV1,96,84,248,113
858,hAT-N1_Mam,DNA,hAT-Tip100?,292,122,180,102
859,LTR69,LTR,ERVL,24,28,19,16
860,LTR68,LTR,ERV1,0,56,99,10
861,MER5C,DNA,hAT-Charlie,296,481,363,504
862,tRNA-His-CAY,tRNA,tRNA,0,0,0,0
863,AluSg,SINE,Alu,5704,4393,7241,5221
864,MER54B,LTR,ERVL,16,56,88,12
865,MER70A,LTR,ERVL,112,80,76,64
866,Tigger17c,DNA,TcMar-Tigger,342,361,378,518
867,LTR10F,LTR,ERV1,138,105,158,64
868,LTR24B,LTR,ERV1,208,204,210,189
869,Eulor7,DNA?,DNA?,0,0,0,0
870,MER97c,DNA,hAT-Tip100,24,12,32,28
871,L1MD3,LINE,L1,1750,1478,2352,1648
872,L1MD2,LINE,L1,3700,3341,4612,3764
873,L1MD1,LINE,L1,2247,2244,2521,2357
874,HERV17-int,LTR,ERV1,493,445,686,385
875,LTR1C1,LTR,ERV1,8,0,29,4
876,LTR1C3,LTR,ERV1,0,0,0,8
877,Eulor1,DNA,DNA,8,0,0,36
878,MER70B,LTR,ERVL,60,12,56,24
879,tRNA-Gly-GGY,tRNA,tRNA,2,8,8,2
880,LTR84a,LTR,ERVL,112,228,179,72
881,LTR84b,LTR,ERVL,178,135,235,190
882,UCON6,Unknown,Unknown,176,174,212,180
883,tRNA-Gly-GGG,tRNA,tRNA,0,8,0,0
884,MLT1G1-int,LTR,ERVL-MaLR,80,51,52,36
885,MER77B,LTR,ERVL,408,412,617,494
886,MER132,DNA,TcMar-Pogo,0,0,0,0
887,Tigger17b,DNA,TcMar-Tigger,72,24,40,36
888,L1ME3A,LINE,L1,5318,5182,6380,5040
889,L1ME3B,LINE,L1,4058,3053,4320,3493
890,L1ME3C,LINE,L1,794,666,722,744
891,L1ME3D,LINE,L1,2132,1477,2226,1655
892,L1MEf,LINE,L1,7016,3512,6184,4140
893,L1ME3F,LINE,L1,2926,2738,3111,2676
894,L1ME3G,LINE,L1,6012,5583,6572,5337
895,Tigger1a_Art,DNA,TcMar-Tigger,76,9,36,72
896,MER57F,LTR,ERV1,75,89,68,33
897,MER57D,LTR,ERV1,48,24,64,67
898,MER47C,DNA,TcMar-Tigger,161,256,292,241
899,MER47B,DNA,TcMar-Tigger,143,190,228,220
900,MER47A,DNA,TcMar-Tigger,1158,1344,1588,1313
901,SVA_D,Retroposon,SVA,211,217,369,282
902,SVA_E,Retroposon,SVA,96,107,144,97
903,D20S16,Satellite,Satellite,16,11,28,0
904,MER30B,DNA,hAT-Charlie,98,92,30,45
905,SVA_A,Retroposon,SVA,298,299,361,386
906,SVA_B,Retroposon,SVA,120,182,217,149
907,FAM,SINE,Alu,811,976,1331,1021
908,MER89-int,LTR,ERV1,43,112,117,45
909,MER90a,LTR,ERV1,450,255,474,356
910,MER97a,DNA,hAT-Tip100,4,23,8,24
911,tRNA-Thr-ACY_,tRNA,tRNA,0,0,0,0
912,MLT1F-int,LTR,ERVL-MaLR,188,176,177,203
913,MER34C_,LTR,ERV1,144,36,69,43
914,Tigger14a,DNA,TcMar-Tigger,358,535,386,496
915,MSTD-int,LTR,ERVL-MaLR,289,209,270,277
916,Charlie22a,DNA,hAT-Charlie,341,299,443,330
917,L1MC4a,LINE,L1,5569,4736,5082,4984
918,Helitron2Na_Mam,RC?,Helitron?,406,316,409,227
919,Ricksha_a,DNA,MULE-MuDR,32,0,24,56
920,LFSINE_Vert,SINE,tRNA,964,1358,1469,1221
921,L1MDb,LINE,L1,444,283,557,411
922,L1MDa,LINE,L1,2022,1719,2277,1607
923,UCON38,Unknown,Unknown,4,20,36,8
924,7SLRNA,srpRNA,srpRNA,68941,71076,88690,56540
925,MER6B,DNA,TcMar-Tigger,176,164,207,151
926,LOR1-int,LTR,ERV1,686,846,890,874
927,LTR72,LTR,ERV1,25,104,16,104
928,UCON37,Unknown,Unknown,19,0,12,0
929,HERVP71A-int,LTR,ERV1,211,188,77,137
930,L1P3b,LINE,L1,10,20,5,1
931,LTR73,LTR,ERV1,61,109,104,89
932,HERV35I-int,LTR,ERV1,85,122,112,108
933,MER68,LTR,ERVL,851,798,1194,802
934,LTR108d_Mam,LTR,ERVL,0,0,0,0
935,MamGypsy2-I,LTR,Gypsy,324,252,316,96
936,tRNA-Tyr-TAT,tRNA,tRNA,0,0,0,0
937,MER110-int,LTR,ERV1,23,28,51,77
938,Tigger2a,DNA,TcMar-Tigger,1055,1046,1046,1111
939,MLT1C-int,LTR,ERVL-MaLR,209,176,226,378
940,HY1,scRNA,scRNA,255,276,289,354
941,HY3,scRNA,scRNA,145,168,318,241
942,HY4,scRNA,scRNA,88,68,163,32
943,HY5,scRNA,scRNA,56,48,4,32
944,MamRep605,LTR?,LTR?,1215,1390,1801,1290
945,tRNA-Thr-ACY,tRNA,tRNA,0,0,0,0
946,MER87,LTR,ERV1,36,0,16,24
947,MER89,LTR,ERV1,197,192,181,144
948,HUERS-P3b-int,LTR,ERV1,629,621,440,505
949,MER133B,DNA?,DNA?,0,0,0,0
950,HERV9N-int,LTR,ERV1,100,53,171,150
951,MER133A,DNA?,DNA?,0,0,0,4
952,Eulor5A,DNA?,DNA?,60,20,31,24
953,5S,rRNA,rRNA,855,991,1256,1540
954,Eulor5B,DNA?,DNA?,0,0,0,0
955,LTR19B,LTR,ERV1,137,133,114,68
956,LTR19C,LTR,ERV1,41,52,96,63
957,LTR19A,LTR,ERV1,556,304,658,464
958,MLT1J2,LTR,ERVL-MaLR,853,1079,1115,1033
959,MamRep564,Unknown,Unknown,168,224,463,196
960,UCON28c,Unknown,Unknown,12,0,0,28
961,MLT1J1,LTR,ERVL-MaLR,637,656,731,648
962,UCON34,Unknown,Unknown,48,137,179,88
963,LTR2C,LTR,ERV1,80,49,88,65
964,LTR2B,LTR,ERV1,76,99,153,70
965,HAL1M8,LINE,L1,1031,881,1343,1033
966,AluYi6,SINE,Alu,29,44,63,39
967,MSR1,Satellite,Satellite,109,49,168,75
968,Tigger8,DNA,TcMar-Tigger,320,242,208,343
969,LTR49-int,LTR,ERV1,438,492,696,552
970,MER31-int,LTR,ERV1,192,265,391,203
971,Tigger1,DNA,TcMar-Tigger,9302,10470,12067,9278
972,tRNA-Ala-GCY_,tRNA,tRNA,0,0,0,0
973,Kanga1d,DNA,TcMar-Tc2,52,125,79,119
974,Tigger2,DNA,TcMar-Tigger,1587,1791,1934,1746
975,Kanga1b,DNA,TcMar-Tc2,48,72,64,64
976,Kanga1c,DNA,TcMar-Tc2,152,106,130,93
977,Tigger7,DNA,TcMar-Tigger,1476,1476,1870,1413
978,Kanga1a,DNA,TcMar-Tc2,192,172,207,246
979,L1M3b,LINE,L1,76,112,136,79
980,UCON71,Unknown,Unknown,8,0,0,0
981,LTR10A,LTR,ERV1,80,61,254,208
982,tRNA-Asp-GAY,tRNA,tRNA,12,16,8,0
983,LTR10C,LTR,ERV1,223,247,213,194
984,LTR10B,LTR,ERV1,20,8,4,0
985,LTR10E,LTR,ERV1,61,37,41,74
986,LTR10D,LTR,ERV1,33,81,115,72
987,LTR10G,LTR,ERV1,28,8,36,24
988,AluY,SINE,Alu,8543,7902,11627,8860
989,SATR2,Satellite,Satellite,72,117,158,106
990,LTR16D1,LTR,ERVL,128,73,140,70
991,LTR16D2,LTR,ERVL,28,34,63,88
992,L1M3a,LINE,L1,366,232,365,153
993,MER57B1,LTR,ERV1,181,124,172,190
994,UCON85,Unknown,Unknown,0,0,4,0
995,L2-1_AMi,LINE,L2,345,318,452,490
996,MER57B2,LTR,ERV1,143,234,261,167
997,MamSINE1,SINE,tRNA-RTE,2640,3006,4513,3564
998,UCON11,DNA,TcMar-Tigger,0,0,0,0
999,Tigger3a,DNA,TcMar-Tigger,1803,1715,2143,1719
1000,HERVL40-int,LTR,ERVL,442,424,444,492
1001,MER53,DNA,hAT,929,538,807,713
1002,MER50,LTR,ERV1,354,235,251,276
1003,MER52-int,LTR,ERV1,3,27,38,44
1004,UCON76,Unknown,Unknown,8,0,0,0
1005,Penelope1_Vert,LINE,Penelope,292,272,482,406
1006,MER87B,LTR,ERV1,12,12,88,112
1007,MamRep434,DNA,TcMar-Tigger,709,654,807,646
1008,HERVFH19-int,LTR,ERV1,18,32,32,46
1009,L2-3_Crp,LINE,L2,410,567,720,752
1010,HERVK14C-int,LTR,ERVK,3,0,8,6
1011,HAL1ME,LINE,L1,1573,2053,2202,1664
1012,LTR28,LTR,ERV1,40,64,20,28
1013,MLT1A1-int,LTR,ERVL-MaLR,147,244,287,194
1014,FLAM_C,SINE,Alu,3505,2918,4993,3587
1015,LTR81AB,LTR,Gypsy,21,36,8,0
1016,FLAM_A,SINE,Alu,1882,2031,2944,2292
1017,L1M6B,LINE,L1,262,222,235,209
1018,MER121,DNA,hAT?,125,71,75,20
1019,LTR37B,LTR,ERV1,412,336,317,292
1020,LTR23,LTR,ERV1,100,156,149,138
1021,LTR22,LTR,ERVK,37,13,44,43
1022,LTR25,LTR,ERV1,59,46,60,56
1023,LTR12,LTR,ERV1,113,196,180,169
1024,LTR27,LTR,ERV1,20,44,36,20
1025,LTR26,LTR,ERV1,144,79,136,96
